Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,77.60,NA,7.71,105.18,57.06,NA,NA,0.54,50.90,11.94,40.68,3.21,NA,0.32,4.75,21.54,50.09,3.27,101.04,NA,0.00,2.60,1012.03,0.39
2018-01-01 01:00:00,74.23,NA,5.13,71.65,38.78,NA,NA,0.51,71.80,11.63,34.19,3.21,NA,0.32,3.55,21.17,50.81,2.73,92.80,NA,0.00,2.60,1011.60,0.39
2018-01-01 02:00:00,63.43,NA,5.36,62.14,34.32,NA,118.04,0.42,62.32,10.26,24.79,3.21,NA,0.32,1.31,20.52,54.84,2.97,99.05,NA,0.00,2.65,1011.23,0.39
2018-01-01 03:00:00,64.57,NA,5.04,64.52,35.23,NA,117.86,0.33,41.42,7.39,21.28,3.21,NA,0.32,0.11,20.27,55.68,2.64,107.25,NA,0.00,2.65,1010.98,0.39
2018-01-01 04:00:00,67.87,NA,5.34,66.83,36.59,NA,80.67,0.27,53.16,6.73,19.01,3.21,NA,0.32,0.11,19.98,56.57,2.90,96.00,NA,0.00,2.90,1010.98,0.39
2018-01-01 05:00:00,64.50,NA,5.66,97.93,52.00,NA,105.90,0.43,15.79,6.60,20.78,3.21,NA,0.32,0.11,19.75,58.56,1.50,85.88,NA,0.00,2.90,1011.02,0.39
2018-01-01 06:00:00,65.47,NA,6.50,105.45,56.29,NA,98.44,0.59,19.90,9.18,24.56,3.21,NA,0.32,0.11,19.56,59.39,2.15,92.52,NA,0.00,2.90,1011.48,0.39
2018-01-01 07:00:00,79.10,NA,16.77,121.83,71.95,NA,18.35,0.97,10.42,17.15,29.73,3.21,NA,0.32,0.11,19.44,61.49,2.09,84.79,NA,0.00,19.30,1012.32,0.39
2018-01-01 08:00:00,104.20,NA,14.16,117.10,67.69,NA,104.18,1.14,32.02,25.62,42.31,3.21,NA,0.32,2.79,19.74,58.48,2.67,110.24,NA,0.00,159.40,1013.30,0.40
2018-01-01 09:00:00,126.03,NA,10.52,106.51,59.81,NA,56.76,1.24,63.46,26.60,49.43,3.21,NA,0.32,2.15,20.96,50.46,2.00,116.96,NA,0.00,361.75,1013.70,0.40
2018-01-01 10:00:00,118.47,NA,6.08,57.91,32.79,NA,115.47,0.81,118.46,21.05,53.82,3.21,NA,0.32,4.34,21.96,50.89,2.33,163.85,NA,0.00,534.40,1013.68,0.40
2018-01-01 11:00:00,109.40,NA,6.00,53.63,30.64,NA,99.23,0.91,140.53,12.84,37.92,3.21,NA,0.32,1.47,23.17,50.12,1.54,114.57,NA,0.00,648.80,1012.95,0.40
2018-01-01 12:00:00,103.57,NA,5.25,45.53,26.12,NA,94.49,0.85,46.64,13.54,45.65,3.21,NA,0.32,3.44,23.82,49.66,2.13,106.07,NA,0.00,696.50,1011.40,0.39
2018-01-01 13:00:00,88.80,NA,5.09,48.29,27.35,NA,165.51,1.02,31.59,12.36,54.46,3.21,NA,0.32,2.89,24.38,47.67,1.75,97.45,NA,0.00,653.85,1009.67,0.39
2018-01-01 14:00:00,80.47,NA,5.15,32.84,19.87,NA,124.29,0.62,NA,9.95,42.19,3.21,NA,0.32,0.51,24.72,44.13,2.98,105.00,NA,0.00,555.88,1008.45,0.39
2018-01-01 15:00:00,79.47,NA,5.09,28.26,17.58,NA,91.05,0.49,NA,7.21,26.72,3.21,NA,0.32,0.11,24.81,39.28,2.81,92.11,NA,0.00,422.65,1008.02,0.39
2018-01-01 16:00:00,75.77,NA,4.97,31.65,19.15,NA,77.71,0.51,32.61,6.26,23.64,3.21,NA,0.32,0.11,24.70,39.74,2.44,100.47,NA,0.00,248.70,1008.02,0.39
2018-01-01 17:00:00,68.63,NA,5.65,70.44,38.57,NA,110.11,0.97,16.73,8.46,23.33,3.21,NA,0.32,0.11,24.28,42.49,2.18,106.24,NA,0.00,70.95,1008.45,0.39
