Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,204.20,NA,127.49,106.37,96.32,NA,74.02,0.66,22.08,4.11,32.31,6.94,NA,NA,NA,24.71,11.18,0.81,201.24,NA,0.00,714.80,1019.23,NA
2019-01-01 01:00:00,137.02,NA,90.72,112.25,77.23,NA,62.39,0.45,33.54,4.13,32.28,6.81,NA,NA,NA,24.39,10.42,0.70,201.24,NA,0.00,719.88,1019.20,NA
2019-01-01 02:00:00,122.04,NA,26.14,129.14,45.28,NA,69.71,0.44,46.98,4.10,32.54,7.15,NA,NA,NA,24.12,9.79,0.63,201.24,NA,0.00,732.55,1019.13,NA
2019-01-01 03:00:00,104.55,NA,45.20,121.11,53.99,NA,103.44,0.53,28.41,4.04,32.28,6.95,NA,NA,NA,23.63,8.64,0.50,201.24,NA,0.00,733.65,1019.12,NA
2019-01-01 04:00:00,93.95,NA,61.92,111.15,60.93,NA,157.19,0.57,35.47,3.97,32.20,6.88,NA,NA,NA,23.32,7.88,0.58,201.24,NA,0.00,738.10,1018.97,NA
2019-01-01 05:00:00,92.51,NA,46.76,118.96,54.35,NA,96.57,0.56,32.19,4.08,32.30,6.91,NA,NA,NA,23.03,7.21,0.50,201.25,NA,0.00,750.15,1018.87,NA
2019-01-01 06:00:00,98.32,NA,24.51,124.43,43.26,NA,79.81,0.69,28.94,4.12,32.42,6.81,NA,NA,NA,23.02,7.19,0.47,201.24,NA,0.00,759.92,1019.25,NA
2019-01-01 07:00:00,96.60,NA,10.24,102.74,30.15,NA,61.04,0.45,40.65,4.15,32.42,6.81,NA,NA,NA,23.04,7.23,0.57,201.24,NA,0.00,748.15,1020.27,NA
2019-01-01 08:00:00,81.97,NA,9.72,82.29,25.00,NA,76.58,0.36,56.58,4.05,32.32,6.93,NA,NA,NA,23.54,8.42,0.85,201.25,NA,0.00,827.80,1021.15,NA
2019-01-01 09:00:00,70.85,NA,9.80,78.62,24.16,NA,59.24,0.66,69.78,4.11,32.34,7.18,NA,NA,NA,24.39,10.42,0.65,201.24,NA,0.00,893.60,1021.63,NA
2019-01-01 10:00:00,86.96,NA,13.33,103.65,32.09,NA,66.00,0.40,61.89,4.11,32.35,6.94,NA,NA,NA,25.93,14.06,0.79,201.24,NA,0.00,968.30,1020.98,NA
2019-01-01 11:00:00,97.87,NA,12.25,112.11,33.49,NA,98.58,0.61,73.32,4.17,32.47,7.05,NA,NA,NA,27.28,17.24,0.53,201.24,NA,0.00,980.50,1020.53,NA
2019-01-01 12:00:00,96.35,NA,7.66,122.45,33.41,NA,114.42,0.49,103.23,4.02,32.36,6.87,NA,NA,NA,28.54,20.21,0.58,201.24,NA,0.00,958.15,1018.32,NA
2019-01-01 13:00:00,95.67,NA,6.91,120.01,32.41,NA,87.81,0.49,133.84,4.10,32.28,6.93,NA,NA,NA,29.47,22.40,0.56,201.24,NA,0.00,902.80,1016.45,NA
2019-01-01 14:00:00,97.97,NA,6.48,125.13,33.38,NA,119.36,0.49,157.62,4.07,32.53,6.81,NA,NA,NA,29.79,23.17,0.74,201.24,NA,0.00,829.82,1015.47,NA
2019-01-01 15:00:00,88.77,NA,6.95,53.94,16.70,NA,92.16,0.46,130.22,4.03,32.20,6.81,NA,NA,NA,30.04,23.74,0.94,201.24,NA,0.00,805.73,1014.80,NA
2019-01-01 16:00:00,82.22,NA,6.69,53.26,16.40,NA,93.65,0.27,134.91,4.04,32.20,6.92,NA,NA,NA,29.71,22.98,0.80,201.24,NA,0.00,719.25,1015.08,NA
2019-01-01 17:00:00,75.40,NA,6.50,101.14,27.69,NA,57.19,0.46,101.96,3.97,32.20,6.92,NA,NA,NA,29.25,21.88,0.78,201.24,NA,0.00,626.90,1015.87,NA
2019-01-01 18:00:00,78.90,NA,22.28,232.53,67.74,NA,37.10,0.58,44.03,4.14,32.25,6.87,NA,NA,NA,28.26,19.54,0.57,201.24,NA,0.00,605.00,1016.70,NA
2019-01-01 19:00:00,75.04,NA,197.21,174.49,151.35,NA,43.57,0.37,6.00,4.18,32.35,6.87,NA,NA,NA,27.44,17.61,0.43,201.24,NA,0.00,656.83,1017.23,NA
2019-01-01 20:00:00,106.77,NA,273.51,135.77,372.60,NA,65.77,0.35,9.17,4.02,32.20,6.97,NA,NA,NA,26.64,15.73,0.43,201.24,NA,0.00,636.18,1017.42,NA
2019-01-01 21:00:00,150.67,NA,NA,NA,409.33,NA,61.50,0.43,5.85,3.97,32.26,6.96,NA,NA,NA,25.99,14.19,0.43,201.24,NA,0.00,694.95,1017.75,NA
2019-01-01 22:00:00,202.47,NA,NA,NA,456.13,NA,83.66,0.54,5.05,4.06,32.37,7.12,NA,NA,NA,25.48,13.00,0.43,201.24,NA,0.00,689.50,1017.80,NA
2019-01-01 23:00:00,275.00,NA,NA,NA,489.57,NA,63.73,0.55,4.13,4.15,32.28,6.93,NA,NA,NA,25.12,12.13,0.43,201.24,NA,0.00,692.10,1017.95,NA
2019-01-02 00:00:00,309.17,NA,282.41,55.44,339.32,NA,73.81,0.36,4.45,4.01,32.46,7.07,NA,NA,NA,25.21,12.35,0.61,201.24,NA,0.00,697.60,1017.93,NA
2019-01-02 01:00:00,281.15,NA,89.05,137.27,82.26,NA,49.25,0.35,15.43,4.06,32.25,6.90,NA,NA,NA,24.96,11.76,0.65,201.24,NA,0.00,674.00,1017.95,NA
2019-01-02 02:00:00,211.38,NA,58.80,141.90,66.51,NA,54.67,0.56,26.71,4.01,32.30,7.29,NA,NA,NA,24.44,10.55,0.53,201.24,NA,0.00,680.45,1017.90,NA
2019-01-02 03:00:00,158.85,NA,81.03,119.51,73.56,NA,41.89,0.62,32.31,3.97,32.20,7.07,NA,NA,NA,24.07,9.66,0.67,201.24,NA,0.00,687.98,1018.10,NA
2019-01-02 04:00:00,124.97,NA,8.30,123.69,34.06,NA,35.02,0.54,45.14,4.10,32.56,7.09,NA,NA,NA,23.92,9.31,0.60,201.24,NA,0.00,688.17,1018.07,NA
2019-01-02 05:00:00,104.07,NA,24.56,135.18,45.84,NA,32.66,0.58,33.98,4.20,32.20,7.20,NA,NA,NA,23.62,8.60,0.45,201.24,NA,0.00,689.22,1018.03,NA
2019-01-02 06:00:00,103.92,NA,54.37,130.07,61.23,NA,29.61,0.60,35.00,4.13,32.27,6.96,NA,NA,NA,23.57,8.49,0.43,201.24,NA,0.00,665.60,1018.77,NA
2019-01-02 07:00:00,104.91,NA,73.11,125.62,70.61,NA,46.97,0.52,27.73,4.06,32.46,6.89,NA,NA,NA,23.28,7.80,0.43,201.24,NA,0.00,707.73,1019.70,NA
2019-01-02 08:00:00,114.32,NA,68.36,146.06,72.83,NA,62.91,0.53,54.55,4.15,32.35,7.05,NA,NA,NA,23.85,9.14,0.43,201.24,NA,0.00,765.17,1020.78,NA
2019-01-02 09:00:00,132.05,NA,42.79,217.04,75.48,NA,75.26,0.43,48.38,4.10,32.38,6.93,NA,NA,NA,25.15,12.22,0.47,201.24,NA,0.00,805.05,1021.02,NA
2019-01-02 10:00:00,166.43,NA,11.54,136.03,38.80,NA,74.52,0.31,70.04,4.18,32.43,6.87,NA,NA,NA,26.71,15.90,0.50,201.24,NA,0.00,868.65,1020.87,NA
2019-01-02 11:00:00,176.23,NA,8.33,108.42,30.44,NA,74.51,0.50,88.63,4.19,32.42,6.88,NA,NA,NA,27.85,18.59,0.64,201.24,NA,0.00,901.13,1020.05,NA
2019-01-02 12:00:00,141.73,NA,6.66,60.77,18.17,NA,62.96,0.46,103.29,4.13,32.37,6.81,NA,NA,NA,28.57,20.28,0.86,201.24,NA,0.00,938.30,1018.43,NA
2019-01-02 13:00:00,120.76,NA,6.48,39.41,12.99,NA,32.60,0.40,108.45,4.11,32.31,6.81,NA,NA,NA,29.23,21.84,1.05,201.24,NA,0.00,891.10,1017.02,NA
2019-01-02 14:00:00,87.09,NA,6.57,36.36,12.31,NA,39.27,0.31,107.56,4.22,32.20,7.14,NA,NA,NA,29.52,22.53,1.18,201.24,NA,0.00,873.20,1015.98,NA
2019-01-02 15:00:00,54.14,NA,6.74,36.43,12.42,NA,28.85,0.40,106.14,4.20,32.35,7.18,NA,NA,NA,29.83,23.27,0.99,201.24,NA,0.00,803.22,1015.67,NA
2019-01-02 16:00:00,39.30,NA,6.60,39.82,13.15,NA,36.92,0.27,100.03,4.02,32.40,6.92,NA,NA,NA,29.57,22.64,0.94,201.24,NA,0.00,734.00,1016.08,NA
2019-01-02 17:00:00,41.58,NA,6.99,63.35,18.96,NA,17.96,0.50,88.31,4.05,32.43,7.07,NA,NA,NA,29.16,21.66,0.70,201.24,NA,0.00,593.40,1016.60,NA
2019-01-02 18:00:00,46.45,NA,111.46,174.32,103.55,NA,12.65,0.47,35.00,4.10,32.25,6.97,NA,NA,NA,28.32,19.69,0.43,201.24,NA,0.00,621.25,1017.52,NA
2019-01-02 19:00:00,78.60,NA,236.98,122.43,261.92,NA,34.88,0.43,9.52,4.09,32.39,7.00,NA,NA,NA,27.51,17.79,0.43,201.24,NA,0.00,584.25,1018.55,NA
2019-01-02 20:00:00,169.09,NA,NA,NA,391.72,NA,53.63,0.40,5.16,4.11,32.35,6.81,NA,NA,NA,27.02,16.64,0.43,201.24,NA,0.00,560.05,1019.32,NA
2019-01-02 21:00:00,235.32,NA,NA,NA,402.36,NA,48.65,0.36,3.67,4.05,32.33,7.03,NA,NA,NA,26.55,15.51,0.43,201.24,NA,0.00,622.22,1019.63,NA
2019-01-02 22:00:00,265.25,NA,NA,NA,388.78,NA,61.54,0.57,3.94,4.10,32.25,6.91,NA,NA,NA,26.25,14.79,0.51,201.24,NA,0.00,593.23,1019.48,NA
2019-01-02 23:00:00,297.71,NA,476.02,NA,318.89,NA,51.68,0.74,3.76,4.15,32.45,7.09,NA,NA,NA,25.65,13.39,0.49,201.24,NA,0.00,559.67,1019.28,NA
2019-01-03 00:00:00,303.66,NA,406.02,12.14,278.20,NA,62.67,0.69,6.17,4.04,32.32,6.91,NA,NA,NA,25.43,12.87,0.49,201.24,NA,0.00,625.40,1019.22,NA
2019-01-03 01:00:00,260.19,NA,274.28,33.57,159.82,NA,38.17,0.50,12.11,4.14,32.33,6.97,NA,NA,NA,25.36,12.69,0.81,201.24,NA,0.00,626.00,1019.23,NA
2019-01-03 02:00:00,212.96,NA,220.80,49.95,134.85,NA,44.57,0.49,15.10,4.03,32.59,7.09,NA,NA,NA,24.82,11.44,0.61,201.24,NA,0.00,522.57,1019.12,NA
2019-01-03 03:00:00,170.44,NA,95.12,96.66,75.97,NA,32.03,0.59,27.10,4.17,32.54,7.11,NA,NA,NA,24.09,9.70,0.75,201.24,NA,0.00,534.72,1019.20,NA
2019-01-03 04:00:00,133.04,NA,66.70,115.82,64.71,NA,70.14,0.71,36.06,3.97,32.41,6.89,NA,NA,NA,23.83,9.10,0.86,201.24,NA,0.00,468.82,1019.43,NA
2019-01-03 05:00:00,127.57,NA,40.23,113.25,49.36,NA,53.19,0.48,22.78,4.26,32.43,7.26,NA,NA,NA,23.47,8.25,0.43,201.24,NA,0.00,478.95,1019.60,NA
2019-01-03 06:00:00,110.06,NA,14.93,108.30,34.08,NA,51.95,0.32,31.14,4.02,32.36,7.27,NA,NA,NA,23.49,8.29,0.63,201.24,NA,0.00,459.00,1020.45,NA
2019-01-03 07:00:00,96.11,NA,10.74,101.81,30.21,NA,60.50,0.47,29.17,4.17,32.60,7.14,NA,NA,NA,23.26,7.75,0.59,201.24,NA,0.00,516.05,1021.50,NA
2019-01-03 08:00:00,88.80,NA,12.82,92.97,29.27,NA,67.48,0.30,43.56,4.11,32.47,6.91,NA,NA,NA,23.98,9.44,0.55,201.24,NA,0.00,600.98,1022.73,NA
2019-01-03 09:00:00,94.80,NA,12.03,81.97,26.20,NA,87.57,0.44,61.71,4.15,32.51,7.06,NA,NA,NA,25.32,12.61,1.31,201.24,NA,0.00,747.20,1023.32,NA
2019-01-03 10:00:00,87.50,NA,8.88,73.38,22.41,NA,92.12,0.62,72.05,4.19,32.20,6.90,NA,NA,NA,26.46,15.29,1.49,201.24,NA,0.00,830.25,1023.37,NA
2019-01-03 11:00:00,89.64,NA,7.77,66.66,20.19,NA,65.68,0.52,79.22,3.97,32.40,6.96,NA,NA,NA,27.74,18.33,1.00,201.24,NA,0.00,902.28,1022.22,NA
2019-01-03 12:00:00,84.99,NA,10.60,85.85,26.33,NA,64.07,0.49,70.64,4.13,32.38,7.05,NA,NA,NA,28.78,20.77,0.82,201.24,NA,0.00,950.38,1020.12,NA
2019-01-03 13:00:00,84.21,NA,8.06,67.46,20.54,NA,48.87,0.64,79.62,4.31,32.30,6.88,NA,NA,NA,29.65,22.83,0.84,201.24,NA,0.00,901.07,1018.43,NA
2019-01-03 14:00:00,66.43,NA,6.29,36.96,12.30,NA,33.54,0.58,95.52,3.97,32.40,7.07,NA,NA,NA,29.55,22.59,1.34,201.24,NA,0.00,815.15,1017.48,NA
2019-01-03 15:00:00,45.43,NA,6.38,27.96,10.21,NA,21.86,0.62,96.52,3.97,32.58,6.89,NA,NA,NA,29.83,23.27,0.78,201.24,NA,0.00,744.85,1016.70,NA
2019-01-03 16:00:00,74.14,NA,6.99,29.25,10.85,NA,6.21,0.49,93.38,3.97,32.38,6.94,NA,NA,NA,29.59,22.70,1.16,201.24,NA,0.00,648.95,1016.73,NA
2019-01-03 17:00:00,58.85,NA,6.44,63.56,18.71,NA,26.19,0.39,86.89,3.97,32.35,6.81,NA,NA,NA,28.96,21.21,1.37,201.24,NA,0.00,559.22,1017.27,NA
2019-01-03 18:00:00,48.30,NA,15.85,156.13,45.98,NA,27.92,0.30,42.59,3.97,32.20,6.89,NA,NA,NA,28.21,19.43,0.55,201.24,NA,0.00,541.17,1018.03,NA
2019-01-03 19:00:00,107.37,NA,100.70,161.78,94.58,NA,56.13,0.61,10.69,4.25,32.41,7.15,NA,NA,NA,27.61,18.02,0.43,201.24,NA,0.00,481.93,1018.85,NA
2019-01-03 20:00:00,137.32,NA,250.81,95.55,162.42,NA,76.17,0.54,8.89,3.97,32.44,6.81,NA,NA,NA,26.92,16.38,0.43,201.24,NA,0.00,475.12,1019.42,NA
2019-01-03 21:00:00,161.74,NA,409.91,15.97,240.05,NA,86.67,0.48,6.00,4.05,32.63,6.89,NA,NA,NA,26.34,15.03,0.43,201.24,NA,0.00,471.85,1019.78,NA
2019-01-03 22:00:00,214.64,NA,403.99,56.94,226.76,NA,101.58,0.40,7.31,4.17,32.38,7.07,NA,NA,NA,25.93,14.06,0.58,201.24,NA,0.00,497.33,1019.67,NA
2019-01-03 23:00:00,222.63,NA,95.29,129.95,83.99,NA,63.23,0.58,16.11,4.10,32.33,7.06,NA,NA,NA,25.48,13.00,0.65,201.24,NA,0.00,507.82,1019.20,NA
2019-01-04 00:00:00,177.81,NA,87.84,142.28,82.78,NA,64.28,0.35,12.64,4.26,32.33,6.89,NA,NA,NA,25.28,12.52,0.76,201.24,NA,0.00,499.08,1018.70,NA
