Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2017-01-01 00:00:00,176.35,NA,38.57,55.51,NA,NA,18.89,2.47,0.71,2.25,1.25,0.25,NA,NA,0.25,21.81,19.88,0.13,205.10,NA,0.00,0.70,1018.49,-0.00
2017-01-01 01:00:00,142.31,NA,20.77,53.56,NA,NA,25.14,1.70,NA,0.50,0.25,0.00,NA,47.75,89.50,20.99,29.47,0.07,222.16,NA,0.00,0.70,1018.21,0.00
2017-01-01 02:00:00,125.98,NA,24.29,51.04,NA,NA,30.70,1.53,NA,0.25,0.00,0.00,NA,NA,100.50,20.08,42.36,0.02,194.21,NA,0.00,0.70,1017.94,0.00
2017-01-01 03:00:00,122.80,NA,4.83,40.54,NA,NA,11.18,0.84,2.44,0.00,0.00,0.00,NA,NA,65.50,19.74,41.81,0.02,187.51,NA,0.00,0.71,1017.80,0.00
2017-01-01 04:00:00,108.84,NA,4.67,36.18,NA,NA,7.29,0.76,6.05,0.00,0.00,0.00,NA,NA,71.25,19.19,43.91,0.02,154.58,NA,0.00,0.75,1017.75,0.00
2017-01-01 05:00:00,98.87,NA,4.38,34.37,NA,NA,5.60,0.72,6.52,0.00,0.00,0.00,NA,NA,234.00,19.38,41.99,0.08,130.12,NA,0.00,0.74,1018.35,0.00
2017-01-01 06:00:00,106.23,NA,4.37,29.17,NA,NA,12.05,0.74,7.99,0.00,0.00,0.00,NA,NA,178.50,18.99,43.62,0.14,180.46,NA,0.00,0.75,1019.39,0.00
2017-01-01 07:00:00,101.12,NA,18.80,38.50,NA,NA,16.88,1.11,2.59,0.00,0.00,0.00,NA,NA,74.50,18.23,48.91,0.17,152.20,NA,0.00,9.35,1020.81,0.00
2017-01-01 08:00:00,127.10,NA,13.82,42.58,NA,NA,17.32,1.27,6.61,0.00,0.00,0.00,NA,NA,65.00,18.96,44.99,0.26,169.34,NA,0.00,66.98,1022.07,0.00
2017-01-01 09:00:00,162.36,NA,6.76,48.05,NA,NA,7.07,1.64,33.35,0.25,0.00,0.00,NA,NA,66.50,21.45,32.35,0.12,143.27,NA,0.00,209.11,1022.82,0.00
2017-01-01 10:00:00,176.92,NA,5.00,36.26,NA,NA,13.06,1.16,69.22,0.00,0.00,0.00,NA,NA,56.50,24.46,16.53,0.34,173.73,NA,0.00,332.90,1022.77,-0.00
2017-01-01 11:00:00,146.56,NA,4.40,28.62,NA,NA,18.03,0.84,97.77,0.00,0.00,0.00,NA,NA,46.25,26.47,6.35,0.35,203.14,NA,0.00,397.82,1022.19,-0.00
2017-01-01 12:00:00,123.69,NA,4.23,22.39,NA,NA,28.91,0.61,107.73,0.00,0.00,0.00,NA,NA,60.50,28.41,0.04,0.47,89.87,NA,0.00,438.44,1020.25,-0.00
2017-01-01 13:00:00,106.39,NA,4.21,13.84,NA,NA,13.75,0.38,130.47,0.00,0.00,0.00,NA,NA,83.75,29.48,0.04,0.55,247.55,NA,0.00,429.38,1017.95,-0.00
