Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,78.49,119.70,6.63,11.58,10.60,NA,66.73,0.61,23.69,2.75,31.14,2.52,NA,0.47,0.38,NA,62.99,2.72,95.56,NA,0.00,24.76,NA,NA
2020-01-01 01:00:00,72.51,118.31,5.22,9.92,8.73,NA,45.31,0.69,23.68,2.75,31.14,2.52,NA,0.47,0.38,NA,63.31,3.33,94.18,NA,0.00,17.31,NA,NA
2020-01-01 02:00:00,74.86,109.56,5.29,8.94,8.31,NA,24.56,0.61,23.68,2.75,31.14,2.52,NA,0.47,0.38,NA,64.19,2.53,106.22,NA,0.00,24.52,NA,NA
2020-01-01 03:00:00,76.51,114.85,4.29,7.95,7.09,NA,20.57,0.88,23.65,2.75,31.14,2.52,NA,0.47,0.38,NA,65.62,3.22,99.13,NA,0.00,27.80,NA,NA
2020-01-01 04:00:00,76.34,112.08,3.90,7.41,6.53,NA,16.81,0.77,23.64,2.75,31.14,2.52,NA,0.47,0.38,NA,66.88,2.75,100.77,NA,0.00,22.64,NA,NA
2020-01-01 05:00:00,81.26,112.16,3.97,8.10,6.91,NA,5.32,0.99,23.69,2.75,31.14,2.52,NA,0.47,0.38,NA,68.41,2.60,101.36,NA,0.00,24.51,NA,NA
2020-01-01 06:00:00,79.83,112.35,4.11,8.82,7.37,NA,18.46,0.99,23.68,2.75,31.14,2.52,NA,0.47,0.38,NA,69.63,2.53,102.08,NA,0.00,21.95,NA,NA
2020-01-01 07:00:00,81.80,115.88,4.14,10.64,8.28,NA,14.55,0.91,23.70,2.75,31.14,2.52,NA,0.47,0.38,NA,70.95,3.03,110.14,NA,0.00,49.48,NA,NA
2020-01-01 08:00:00,85.34,116.13,4.30,10.98,8.57,NA,32.51,1.11,23.72,2.75,31.14,2.52,NA,0.47,0.38,NA,69.26,3.23,96.83,NA,0.00,99.68,NA,NA
2020-01-01 09:00:00,91.86,132.60,4.72,11.47,9.12,NA,49.26,0.93,23.68,2.75,31.14,2.52,NA,0.47,0.38,NA,66.72,3.23,104.68,NA,0.00,174.31,NA,NA
2020-01-01 10:00:00,99.88,142.38,3.39,11.78,8.27,NA,35.04,0.76,23.68,2.75,31.14,2.52,NA,0.47,0.38,NA,63.10,3.25,93.30,NA,0.00,248.87,NA,NA
2020-01-01 11:00:00,86.26,147.89,1.51,14.97,8.43,NA,37.45,0.78,23.68,2.75,31.14,2.52,NA,0.47,0.38,NA,58.84,2.45,92.36,NA,0.00,321.91,NA,NA
2020-01-01 12:00:00,82.87,148.45,2.15,15.80,9.32,NA,52.58,0.57,23.70,5.94,31.14,2.52,NA,0.47,0.38,NA,56.44,2.43,93.57,NA,0.00,354.30,NA,NA
2020-01-01 13:00:00,80.50,143.32,1.34,13.93,7.80,NA,30.48,0.87,23.65,2.75,31.14,2.52,NA,0.47,0.38,NA,55.31,3.21,78.03,NA,0.00,322.67,NA,NA
2020-01-01 14:00:00,74.92,144.47,1.18,11.58,6.53,NA,24.44,0.92,23.69,2.75,31.14,2.52,NA,0.47,0.38,NA,55.10,3.00,73.20,NA,0.00,272.30,NA,NA
